exon,precision,recall
0,0.6698113207547169,0.8602050326188257
1,0.6698113207547169,0.8602050326188257
2,0.8098256735340729,0.9092526690391459
3,0.9114470842332614,0.9398663697104677
4,0.967930029154519,0.9623188405797102
5,0.9806949806949807,0.9694656488549618
6,0.9837837837837838,0.978494623655914
7,0.9844961240310077,0.9769230769230769
8,0.9682539682539683,0.9682539682539683
9,0.75,0.8571428571428571
10,0.7142857142857143,1.0
11,0.6,1.0
12,0.6,1.0
13,0.6,1.0
14,0.6,1.0
15,0.6,1.0
16,0.75,1.0
17,0.75,1.0
18,0.6666666666666666,1.0
19,0.6666666666666666,1.0
20,0.6666666666666666,1.0
21,0.6666666666666666,1.0
22,0.6666666666666666,1.0
23,0.6666666666666666,1.0
24,0.6666666666666666,1.0
25,0.6666666666666666,1.0
26,0.6666666666666666,1.0
27,0.6666666666666666,1.0
28,0.5,1.0
29,0.5,1.0
30,0.5,1.0
31,0.5,1.0
32,0.5,1.0
33,0.5,1.0
34,0.5,1.0
35,0.5,1.0
36,0.5,1.0
